"","source","year","price_group_ordered","total_mitigation_by_price_group","cumulative_reduction"
"360","SEMI",2025,"above zero",32.0287667133667,32.0287667133667
"361","SEMI",2030,"above zero",45.4906490694304,45.4906490694304
"362","SEMI",2035,"above zero",51.8675744495856,51.8675744495856
"363","SEMI",2040,"above zero",56.6332247863503,56.6332247863503
"364","SEMI",2045,"above zero",58.0951691185365,58.0951691185365
"365","SEMI",2050,"above zero",61.3882927147465,61.3882927147465
"366","SEMI",2055,"above zero",61.4979832567944,61.4979832567944
"367","SEMI",2060,"above zero",61.6022745756298,61.6022745756298
"368","SEMI",2065,"above zero",61.7014659371435,61.7014659371435
"369","SEMI",2070,"above zero",61.7957959349827,61.7957959349827
"370","SEMI",2075,"above zero",61.8855028243347,61.8855028243347
"371","SEMI",2080,"above zero",61.9708131835161,61.9708131835161
"372","SOLV",2030,"above zero",0.000484356900827954,0.000484356900827954
"373","SOLV",2035,"above zero",0.00328782012796615,0.00328782012796615
"374","SOLV",2040,"above zero",0.014218953246244,0.014218953246244
"375","SOLV",2045,"above zero",0.0196796336162638,0.0196796336162638
"376","SOLV",2050,"above zero",0.0247152279204382,0.0247152279204382
"377","SOLV",2055,"above zero",0.0247152308790342,0.0247152308790342
"378","SOLV",2060,"above zero",0.0247152279204391,0.0247152279204391
"379","SOLV",2065,"above zero",0.0247152279204382,0.0247152279204382
"380","SOLV",2070,"above zero",0.0247152279204382,0.0247152279204382
"381","SOLV",2075,"above zero",0.0247152279204382,0.0247152279204382
"382","SOLV",2080,"above zero",0.0247152279204382,0.0247152279204382
"383","WWR",2020,"at or below zero",0.606506251933401,0.606506251933401
"384","WWR",2020,"above zero",145.793865245487,146.400371497421
"385","WWR",2025,"at or below zero",1.13410210087191,1.13410210087191
"386","WWR",2025,"above zero",183.127148504194,184.261250605066
"387","WWR",2030,"at or below zero",1.76939598903833,1.76939598903833
"388","WWR",2030,"above zero",226.258405270147,228.027801259185
"389","WWR",2035,"at or below zero",2.0000372935053,2.0000372935053
"390","WWR",2035,"above zero",234.643486050544,236.643523344049
"391","WWR",2040,"at or below zero",2.16644045943389,2.16644045943389
"392","WWR",2040,"above zero",242.280615489846,244.44705594928
"393","WWR",2045,"at or below zero",2.40753585202462,2.40753585202462
"394","WWR",2045,"above zero",248.895507479608,251.303043331632
"395","WWR",2050,"at or below zero",2.58245441017993,2.58245441017993
"396","WWR",2050,"above zero",254.422267011115,257.004721421295
"397","WWR",2055,"above zero",259.025137889602,259.025137889602
"398","WWR",2060,"at or below zero",2.4906187283865,2.4906187283865
"399","WWR",2060,"above zero",258.457321669873,260.947940398259
"400","WWR",2065,"above zero",262.777899596995,262.777899596995
"401","WWR",2070,"at or below zero",2.39841165169935,2.39841165169935
"402","WWR",2070,"above zero",262.121112640303,264.519524292002
"403","WWR",2075,"above zero",266.177110296506,266.177110296506
"404","WWR",2080,"at or below zero",2.42689735475109,2.42689735475109
"405","WWR",2080,"above zero",265.32784635948,267.754743714231
